Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
figerald_base,"0,00146482980344935","0,000200802215151481","0,102731224785457",0,0,0,"0,593565216202579","0,000463974787278857","-8,01345030493901E-07","2,1536352514012E-05","0,000278421869690707","-1,17269190662436E-06","0,000428919459969978",0,0,0,0,0,0,package://fidgerald_description/meshes/figerald_base.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/figerald_base.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.021.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.027.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_13.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.016.stp-1;CA.006.Humanoid (Рендер).stp-1/AR-TCAM-03.stp-1/AR-TCAM-03_1.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_13.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.008.stp-5;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-7/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_9.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_4.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0143-000.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.012.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-5/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-5/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/AR-EPC-RTK.stp-1/AR-URC-STB.stp-1/1_STEM2.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.011.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/CA.006.01.stp-1/СА.006.01.001.stp-1;CA.006.Humanoid (Рендер).stp-1/CA.006.01.stp-1/85IXIT SM03C.stp-2;CA.006.Humanoid (Рендер).stp-1/CA.006.01.stp-1/85IXIT SM03C.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-7/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-7/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.014.stp-1,CS_CM,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hand_shoulder,"6,67679846420793E-08","0,12133228016755","-0,00625459128556161",0,0,0,"0,0199211511204866","4,08157413698869E-06","1,59733238737151E-13","-6,88831178460614E-21","8,20688364498782E-06","1,20357846049881E-06","7,74346550142471E-06",0,0,0,0,0,0,package://fidgerald_description/meshes/right_hand_shoulder.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_hand_shoulder.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.008.stp-2;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_4.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1,Shoulder_R,shoulder_r_axis,RH_shoulder,continuous,"0,00244000000000023","-0,0549600000000011","0,11954",0,0,0,figerald_base,0,1,0,,,,,,,,,,,,
right_hand_elbow,"-0,015903348741452","0,162235338197572","-0,0360695926405078",0,0,0,"0,10351401769613","2,10667278014896E-05","-1,42251194707462E-08","-8,74957444694065E-07","2,52326957043821E-05","9,94129902288859E-09","2,33107563035394E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/right_hand_elbow.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_hand_elbow.STL,,CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-5/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_6.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_6.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.009.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_5.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_6.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1,Elbow_R,elbow_r_axis,RH_elbow2shoulder,continuous,"0,0178999999999999","-0,0261","-0,025",0,0,0,right_hand_shoulder,-1,0,0,,,,,,,,,,,,
right_hand_wrist,"0,0436515670712859","0,184381344551546","-0,0220880625746049",0,0,0,"0,0581565936003108","1,49433435063714E-05","1,83369551893672E-06","1,20355865670486E-06","2,96260106947323E-05","-1,38333007734281E-13","3,05981734809628E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/right_hand_wrist.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_hand_wrist.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.010.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.008.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_5.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-4/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1,Wrist_R,wrist_r_axis,RH_wrist2elbow,continuous,"0,000288803857696987","-0,0178999999999999","-0,05825",0,0,0,right_hand_elbow,0,1,0,,,,,,,,,,,,
left_hand_shoulder,"6,67679841842209E-08","-0,12133228016755","-0,00625459128556194",0,0,0,"0,0199211511204866","4,08157413698869E-06","-1,59733195430127E-13","-8,24173870238225E-21","8,20688364498782E-06","-1,20357846049882E-06","7,7434655014247E-06",0,0,0,0,0,0,package://fidgerald_description/meshes/left_hand_shoulder.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_hand_shoulder.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.008.stp-4;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_9.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1,Shoulder_L,shoulder_l_axis,LH_shoulder2base,continuous,"0,00244000000000016","0,0548399999999989","0,11954",0,0,0,figerald_base,0,-1,0,,,,,,,,,,,,
left_hand_elbow,"-0,015903348741452","-0,162242466362087","-0,0360624644595609",0,0,0,"0,10351401769613","2,10667278014896E-05","2,50712513535357E-08","-8,84033561166388E-07","2,52326957043821E-05","9,98090661085736E-09","2,33107563035395E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/left_hand_elbow.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_hand_elbow.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.009.stp-2;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_10.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_11.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_11.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-10/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_11.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1,Elbow_L,elbow_l_axis,LH_elbow2shoulder,continuous,"0,0179000000000001","0,0261","-0,025",0,0,0,left_hand_shoulder,-1,0,0,,,,,,,,,,,,
left_hand_wrist,"0,0436515670712859","-0,184381344551546","-0,0220880625746052",0,0,0,"0,0581565936003107","1,49433435063712E-05","-1,83369551893798E-06","1,20355865670486E-06","2,96260106947324E-05","1,38333014438997E-13","3,05981734809627E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/left_hand_wrist.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_hand_wrist.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.010.stp-2;CA.006.Humanoid (Рендер).stp-1/СА.006.008.stp-3;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_10.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-9/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1,Wrist_L,wrist_l_axis,LH_wrist2elbow,continuous,"0,000288803857696966","0,0179000000000001","-0,0582499999999999",0,0,0,left_hand_elbow,0,-1,0,,,,,,,,,,,,
left_foot_egg,"-0,00165545996674255","0,000112983743696414","-0,00945567611790341",0,0,0,"0,016203506992482","2,1810136006374E-06","3,83661225948782E-08","-4,29370100480343E-07","6,97104880202986E-06","-1,37351554226602E-09","5,89656840609091E-06",0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_egg.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_egg.STL,,CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.017.stp-1,Egg_L,egg_l_axis,LF_egg2base,continuous,"0,00244000000000018","0,0399399999999985","0,0168899999999998",0,0,0,figerald_base,0,0,1,,,,,,,,,,,,
left_foot_bulk,"0,0161597494675303","-0,000179917358893347","-0,00311685893624529",0,0,0,"0,12375186354915","2,2331391415211E-05","-1,50722459422672E-08","-7,97482194647935E-07","3,10506423026294E-05","-5,85305954560346E-11","3,19370654049071E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_bulk.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_bulk.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.002.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-2/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-2/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-2/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.005.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T.stp-1/Dynamixel XL-430B3B-EH.stp-2;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-1/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-1/Dynamixel XL-430DC11_A01_IDLER_CAP_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1,Bulk_L,bulk_l_axis,LF_bulk2egg,continuous,"-0,02435",0,"-0,02735","3,14159265358979","1,5707963267949",0,left_foot_egg,0,0,-1,,,,,,,,,,,,
left_foot_hip,"0,0548798930357333","-0,000676629972039144","0,0173069598610645",0,0,0,"0,0647397379822882","1,36555549716131E-05","7,17497836536765E-07","1,95215350076347E-08","2,2744902900304E-05","-5,46185313426984E-09","1,71393380797248E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_hip.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_hip.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.004.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_1.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_1.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_1.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1,Hip_L,hip_l_axis,LF_hip2bulk,continuous,0,"-0,017900000000001","-0,02435","-1,5707963267949",0,0,left_foot_bulk,0,0,1,,,,,,,,,,,,
left_foot_knee,"0,0323472698616189","-0,0165607705092005","-0,0175965615316894",0,0,0,"0,0389929410816578","1,68740106530794E-05","-1,73267561044111E-06","1,5973321943917E-13","4,03995897769816E-05","-1,84935891786687E-20","3,13656638783481E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_knee.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_knee.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.003.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_1.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1,Knee_L,knee_l_axis,LF_knee2hip,continuous,"0,079999999999998",0,0,"3,14159265358979",0,0,left_foot_hip,0,0,1,,,,,,,,,,,,
left_foot_foot,"-0,0163089126213454","0,0212333193405577","-0,0177072891052394",0,0,0,"0,122527563023214","2,23012462307247E-05","7,88406280785362E-07","-2,41483827633404E-08","3,18793652203524E-05","1,14984928437809E-14","3,10198019424089E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_foot.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_foot.STL,,CA.006.Humanoid (Рендер).stp-1/XL430-W250T_2.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.002.stp-2;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_2.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-2/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-2/Dynamixel XL-430DC11_A01_IDLER_CAP_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_2.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.005.stp-2;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_3.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_3.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1,Foot_L,foot_l_axis,LF_foot2knee,continuous,"0,08",0,"-0,000199999999999",0,0,0,left_foot_knee,0,0,1,,,,,,,,,,,,
left_foot_root,"0,0183504339859798","0,0105501003758812","0,0176324957258009",0,0,0,"0,0596876648707682","7,90554995356425E-05","-6,94800841852231E-07","-4,43190944478482E-07","5,73828467438677E-05","1,67591668926797E-06","2,47735589832396E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_root.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/left_foot_root.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.001.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_3.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1,foot_rot_L,foot_rot_L_axis,left_foot_root,continuous,0,"0,02135","-0,0179","1,5707963267949",0,0,left_foot_foot,0,0,1,,,,,,,,,,,,
right_foot_egg,"-0,00165545996674267","0,000112819569964444","-0,00945567611790341",0,0,0,"0,016203506992482","2,18101360063738E-06","3,83661225948757E-08","-4,29370100480273E-07","6,97104880202986E-06","-1,37319607581971E-09","5,89656840609093E-06",0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_egg.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_egg.STL,,CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-5/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.017.stp-2,Egg_R,egg_r_axis,RF_egg2base,continuous,"0,00244000000000018","-0,0400600000000015","0,0168900000000002",0,0,0,figerald_base,0,0,1,,,,,,,,,,,,
right_foot_bulk,"0,0162770974951654","0,000324329119640698","-0,00290819774166367",0,0,0,"0,12287194311214","2,23054191500308E-05","2,40968168528413E-08","-7,88406121074773E-07","3,10018223810332E-05","5,85535353958022E-11","3,19116305872095E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_bulk.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_bulk.STL,,CA.006.Humanoid (Рендер).stp-1/XL430-W250T_7.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_7.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.002.stp-3;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_7.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-3/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-3/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-3/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_7.stp-1/Dynamixel XL-430B3B-EH.stp-2;CA.006.Humanoid (Рендер).stp-1/СА.006.005.stp-3,Bulk_R,bulk_r_axis,RF_bulk2egg,continuous,"-0,024349999999996",0,"-0,027349999999997","3,14159265358979","1,5707963267949",0,right_foot_egg,0,0,-1,,,,,,,,,,,,
right_foot_hip,"0,0552197787102037","0,000656312196280032","0,0175457403039559",0,0,0,"0,065619658419299","1,3681527236792E-05","-7,0842176296369E-07","1,96475277874486E-08","2,27701390361145E-05","-5,46185307728164E-09","1,71883566832069E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_hip.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_hip.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.004.stp-2;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-4/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-4/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-4/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-7/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-7/Dynamixel XL-430DC11_A01_IDLER_CAP_DUMMY.stp-1,Hip_R,hip_r_axis,RH_hip2bulk,continuous,0,"0,017899999999999","-0,0243499999999989","1,5707963267949",0,0,right_foot_bulk,0,0,-1,,,,,,,,,,,,
right_foot_knee,"0,032720235900536","0,0167517348912322","-0,0182012586729636",0,0,0,"0,0385484341129405","1,68680508207116E-05","1,73267561044015E-06","-2,3529041044569E-20","4,03936756795171E-05","3,53860178058991E-21","3,13554359567357E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_knee.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_knee.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.003.stp-2;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-7/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1,Knee_R,knee_r_axis,RH_knee2hip,continuous,"0,080000000000001",0,0,"-3,14159265358979",0,0,right_foot_hip,0,0,1,,,,,,,,,,,,
right_foot_foot,"-0,0161597494675309","-0,0212833808462009","-0,0177063838430605",0,0,0,"0,123751863549151","2,23313914152107E-05","-7,97482194647855E-07","-1,50722459422055E-08","3,19368667230203E-05","-5,85305958354359E-11","3,1050840984516E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_foot.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_foot.STL,,CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-6/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/СА.006.002.stp-4;CA.006.Humanoid (Рендер).stp-1/СА.006.005.stp-4;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-6/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_12.stp-6/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_8.stp-1/Dynamixel XL-430DC11_A01_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_8.stp-1/Dynamixel XL-430DC11_A01_CASE_CVR_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_8.stp-1/Dynamixel XL-430B3B-EH.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_8.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-8/Dynamixel XL-430DC11_A01_IDLER_DUMMY.stp-1;CA.006.Humanoid (Рендер).stp-1/903-0265-000.stp-8/Dynamixel XL-430DC11_A01_IDLER_CAP_DUMMY.stp-1,Foot_R,foot_r_axis,RF_foot2knee,continuous,"0,080000000000006",0,0,0,0,0,right_foot_knee,0,0,1,,,,,,,,,,,,
right_foot_rot,"0,0183427530258221","-0,0105678225020585","0,0176129479141427",0,0,0,"0,0594752252632798","7,90387732794164E-05","6,9678227280813E-07","-4,41245136953901E-07","5,7373838283317E-05","-1,66841393510318E-06","2,47644257313346E-05",0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_rot.STL,"0,152941176470588","0,152941176470588","0,152941176470588",1,0,0,0,0,0,0,package://fidgerald_description/meshes/right_foot_rot.STL,,CA.006.Humanoid (Рендер).stp-1/СА.006.006.stp-1;CA.006.Humanoid (Рендер).stp-1/XL430-W250T_8.stp-1/Dynamixel XL-430DC11_A01_DUMMY_1.stp-1,foor_root_R,Ось4,right_foot_rot,continuous,0,"-0,021350000000002","-0,0179000000000007","-1,5707963267949",0,0,right_foot_foot,0,0,1,,,,,,,,,,,,
